Jahr,Nation bisher,Kontinent bisher,Geschlecht,Altersklasse,Einbuergerungen
2016,Sri Lanka,Asien,W,40-59,7
2016,Moldova,Europa,M,0-19,1
2016,Peru,Amerika,W,20-39,6
2016,Aethiopien,Afrika,W,0-19,1
2016,Kosovo,Europa,W,40-59,9
2016,Serbien,Europa,M,60-79,1
2016,Slowakei,Europa,W,20-39,2
2016,Grossbritannien,Europa,W,0-19,2
2016,Aethiopien,Afrika,M,40-59,1
2016,Tschechische Republik,Europa,M,20-39,1
2016,Tunesien,Afrika,M,20-39,6
2016,Spanien,Europa,W,40-59,14
2016,Pakistan,Asien,M,40-59,8
2016,Brasilien,Amerika,W,0-19,1
2016,Pakistan,Asien,M,0-19,12
2016,Sudan,Afrika,M,40-59,3
2016,Tansania,Afrika,W,20-39,1
2016,Pakistan,Asien,M,20-39,5
2016,Staat unbekannt,Unzuteilbar,M,40-59,4
2016,Sri Lanka,Asien,M,20-39,13
2016,Peru,Amerika,M,0-19,3
2016,Afghanistan,Asien,M,0-19,5
2016,Costa Rica,Amerika,W,20-39,2
2016,USA,Amerika,M,20-39,6
2016,Australien,Ozeanien,M,20-39,1
2016,Libanon,Asien,W,20-39,1
2016,Angola,Afrika,M,0-19,3
2016,Finnland,Europa,W,0-19,3
2016,Deutschland,Europa,W,80-99,2
2016,Griechenland,Europa,W,40-59,5
2016,Ghana,Afrika,M,60-79,1
2016,Oesterreich,Europa,M,0-19,1
2016,Serbien,Europa,W,40-59,14
2016,Angola,Afrika,M,40-59,1
2016,Deutschland,Europa,W,20-39,80
2016,Bangladesch,Asien,M,40-59,6
2016,Jemen,Asien,W,0-19,2
2016,Dominikanische Republik,Amerika,W,40-59,2
2016,Ghana,Afrika,W,0-19,3
2016,Haiti,Amerika,W,20-39,1
2016,Ecuador,Amerika,W,40-59,3
2016,Tunesien,Afrika,W,0-19,6
2016,Aethiopien,Afrika,W,20-39,2
2016,Tunesien,Afrika,W,40-59,3
2016,Neuseeland,Ozeanien,M,20-39,1
2016,Spanien,Europa,M,0-19,8
